Step,Timestamp,Temperature,Precipitation_log,Humidity,Wind_Speed_kmh,Soil_Moisture,Soil_Temperature,Wind_Dir_Sin,Wind_Dir_Cos
1,2024-09-16 07:00:00,8.580445,0.0018007593,80.215034,2.004925,7870.6787,8.447375,-0.5230131,0.48415124
2,2024-09-16 08:00:00,9.088392,0.0010309577,80.03992,1.6444776,7855.528,8.97262,-0.42889613,0.32666898
3,2024-09-16 09:00:00,9.503249,0.0023607751,80.51703,1.4093412,7839.4233,9.52696,-0.35626096,0.24977279
4,2024-09-16 10:00:00,9.675199,0.004378686,81.09851,1.2881441,7830.8276,9.845088,-0.30448818,0.21628332
5,2024-09-16 11:00:00,9.726725,0.005784333,81.72819,1.2190151,7829.579,9.946179,-0.26109254,0.18596375
6,2024-09-16 12:00:00,9.733967,0.0068131937,82.270546,1.1628462,7830.9487,9.959263,-0.21809483,0.15313268
7,2024-09-16 13:00:00,9.756203,0.007579956,82.430214,1.1014827,7831.661,9.878536,-0.16744006,0.10650766
8,2024-09-16 14:00:00,9.896465,0.008160943,82.339806,1.0256222,7831.9478,9.895502,-0.11313403,0.041778326
9,2024-09-16 15:00:00,10.138733,0.008590866,81.64463,0.944653,7831.6685,9.977589,-0.055870652,-0.04735118
10,2024-09-16 16:00:00,10.544089,0.008677119,80.316765,0.8662361,7829.56,10.210068,0.00047278404,-0.16318876
11,2024-09-16 17:00:00,11.14887,0.008523441,78.29411,0.79971147,7824.2627,10.629854,0.055316925,-0.30086708
12,2024-09-16 18:00:00,12.013915,0.008092172,75.820366,0.7496055,7819.0874,11.328924,0.10690606,-0.45282573
13,2024-09-16 19:00:00,13.111921,0.0073574,72.92172,0.7147479,7814.3276,12.259894,0.15569603,-0.61861134
14,2024-09-16 20:00:00,14.268339,0.0065384614,69.77886,0.7027956,7811.5283,13.380066,0.20149899,-0.7767856
15,2024-09-16 21:00:00,15.423548,0.005790538,66.817474,0.70886946,7810.844,14.609616,0.24035609,-0.9107371
16,2024-09-16 22:00:00,16.441021,0.0052902247,64.4307,0.7236073,7813.946,15.8055725,0.26945865,-1.0065262
17,2024-09-16 23:00:00,17.199463,0.0051751416,62.953888,0.7376164,7821.281,16.809769,0.2857486,-1.0554234
18,2024-09-17 00:00:00,17.604507,0.005551723,62.584854,0.74664927,7831.9014,17.485868,0.28590167,-1.0540528
19,2024-09-17 01:00:00,17.491005,0.008506739,63.22309,0.80007654,7851.9795,17.736177,0.24106514,-0.996827
20,2024-09-17 02:00:00,17.112404,0.010310421,64.71935,0.81433535,7859.796,17.393724,0.18752217,-0.92128754
21,2024-09-17 03:00:00,16.455816,0.011316746,66.62107,0.8287043,7865.5293,16.752012,0.12522423,-0.8245076
22,2024-09-17 04:00:00,15.666213,0.012235991,68.78707,0.86405075,7867.332,15.987547,0.05251825,-0.711009
23,2024-09-17 05:00:00,14.8592415,0.013166241,71.01485,0.9246094,7864.987,15.202454,-0.027246594,-0.58822113
24,2024-09-17 06:00:00,14.121053,0.013994214,73.11672,1.0045666,7859.615,14.473177,-0.10786557,-0.4646026
